cell_type,rho,p_value,p_bonferroni,p_fdr
In,-0.5844162781658664,0.02214210845389167,0.1549947591772417,0.1549947591772417
Ast,0.4992301766027062,0.05814657679892213,0.4070260375924549,0.16155927008601217
End,0.48140052743832384,0.0692396871797195,0.48467781025803647,0.16155927008601217
Opc,0.34074440625264074,0.21393446494935034,1.0,0.37438531366136313
Ex,-0.2654636653363596,0.3389456097688279,1.0,0.4745238536763591
Mic,0.174334347385072,0.5343323386542651,1.0,0.623387728429976
Oli,-0.049526803234395456,0.8608582514354974,1.0,0.8608582514354974
